"3d_viz_custom_consultants","accounting_custom_consultants","acoustics_custom_consultants","ae_fee_number","ae_sourced_cost_co_number","ae_sourced_number_co_number","arborist_custom_consultants","archeologist_custom_consultants","art_consultant1_custom_consultants","audiovisual_custom_consultants","aviation_custom_consultants","awards_received1_list_text","awards_submissions_list_text","bid_amount_number","bid_cost_number","bid_date_date","bid_estimate_number","builder_custom_consultants","builder_phase_engagement_option_design_phases","building_envelope_custom_consultants","business_management_custom_consultants","certifications_list_text","civil_custom_consultants","client_custom_consultants","cm_custom_consultants","code_consultant1_custom_consultants","companysubscribed_custom_companysubscriber","completion_date__actual__date","completion_date__anticipated__date","completion_date_date","construction_budget_number","construction_cost_at_start_of_construction_number","construction_cost_at_start_of_design_number","construction_cost_number","construction_materials_text","construction_start__actual__date","construction_start__anticipated__date","construction_testing_custom_consultants","consultant_cost_co_number","consultant_number_co_number","contract_award_date_date","cost_estimator3_custom_consultants","cost_number","costpersqft_number","date_of_occupancy_date","delivery_method_text","design_completion_date","design_custom_consultants","design_start_date","door_hardware_custom_consultants","electric_solar_meter__kbtu__list_number","electric_year_ending_date_list_date","electrical_custom_consultants","elevator_consultant_custom_consultants","environmental_custom_consultants","final_construction_cost_number","fire_protection1_custom_consultants","food_service_custom_consultants","geotech_custom_consultants","grade_level_text","graphic_design_custom_consultants","hazmat_custom_consultants","historic_preservation_custom_consultants","image_image","inspections_custom_consultants","interior_design_consultant_custom_consultants","internal_team_list_user","lab_planning_custom_consultants","land_survey_custom_consultants","landscape_custom_consultants","lighting_consultant_custom_consultants","location_geographic_address","location_text","mechanical_custom_consultants","mechanical_system_text","name_text","no__levels_floors_number","no__units_number","occupancy_number","owner_generated_cost_co_number","owner_generated_number_co_number","parking_design_custom_consultants","parking_space_number","permit_review_custom_consultants","phase_text","planning1_custom_consultants","plumbing_custom_consultants","pm_custom_consultants","prime_list_custom_consultants","principal_in_charge_user","program_text","project_description_text","project_id_text","project_images_list_image","project_imgs_files_list_file","project_imgs_names_list_text","project_narrative_text","project_number_number","project_order_number","project_publicity_list_text","project_status_option_project_status","project_survey_list_custom_survey","project_us_state_text","public_relations_custom_consultants","real_estate_custom_consultants","regioncounty_text","roofing_consultant_custom_consultants","scope_of_services_text","site_description_text","site_size_number","size_number","specifications_consultant_custom_consultants","specifications_custom_consultants","sq__ft___addition__number","sq__ft___reno__number","sq__ft__new__number","sq__ft__total_number","start_date_date","structural_custom_consultants","structural_system_text","sustainability_consultant_custom_consultants","sustainability_text","telecommunications_custom_consultants","total_cost_co_number","total_number_co_number","total_project_budget_number","total_project_cost_number","traffic_consultant_custom_consultants","type_list_text","unforeseen_cost_co_number","unforeseen_number_co_number","waterproofing_custom_consultants","Created Date","Modified Date","_id","Slug","Created By","Created By - email"
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Waikiki Hawaii","","","HGVC - Hilton Hawaiian Village Resorts (Grand Waikikian and Kalia Tower) Renovation Project.","","","","","","","","","","","","","","","","We believe the design team to be responsible for the following: 
Interior finishes including: 
Carpet (units, guest corridors and elevator lobbies)
LVT
Paint 
Wallcovering (at PH units entry only) 
FF&E including: 
Sofa Sleeper/Sectional Sleeper
Living Room & Bedroom Lounge Chairs/Chaise Lounge 
Nightstands o Headboards 
TV Console/Dressers/Entry Credenza 
Dining Chairs & Banquette
Dining Table 
Coffee Table 
End Tables
Area Rug
Floor Mirror
Living Room Sheers and Drapes
Bedroom Sheers and Drapes including at Tub
Ceiling Fans
Artwork, Lamps and Accessories
Lanai Chair and Occasional Table
Bath Vanity, Hardwired Pendants and Sconces
Unless noted otherwise, Kitchen and Bath cabinets, counters, tile (wall & floor) and plumbing fixtures to remain as is","","","","","The project consists of the renovation/refurbishment of guest rooms in the Grand Waikikian tower with two coordinating design schemes. Guest rooms are a mix of 1 and 2 bedroom Standard Units and 2 and 3 bedroom Penthouse Units. Unit counts are as follows: 
Standard Units 
156 - 1 Bedrooms (99 King, 75 Dbl/Dbl) 
144 - 2 Bedroom (55 King, 89 Dbl/Dbl) 
10 - ADA Units (combination of one and two bedrooms) 

Penthouse Units 
24 - 2 Bedrooms 
10 - 3 Bedrooms 
2 - ADA Units (1-2 Bedroom; 1-3 Bedroom) 

Guest Corridors, Elevator Lobbies 
27 Floors - Standard Units 
5 Floors - Penthouse Units 

Phase 1 will include one 2 bedroom Standard model unit and one 3 bedroom Penthouse model unit that will be created based on the approved design schemes. Once approved by Ownership, these model units will P-1 serve as the basis for the refurbishment of all guest rooms which will occur in Phase 2.","18110","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 9:41 am","Dec 30, 2024 9:41 am","1735569695515x448507544306920640","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Honolulu, Hawaii","","","HGV Grand Islander Corridor Carpet","","","","","","","","","","","","","","","","","","","","","","22102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157651x552660620193382340","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1811 Ala Moana Boulevard","","","HGV Grand Waikikian Public Areas – New Railing 
Project","","","","","","","","","","","","","","","","Interior design/finishes at Lounge including:
Flooring
Wall finishes/features 
Ceiling finishes/features

Interior design/finishes at Pantry including:
Flooring
Wall finishes
Ceiling finishes 
New millwork (base, overhead cabinets and countertop) 
New equipment/fixtures: refrigerators, microwave & ADA sink/faucet including disposal. 

Interior design/finishes at Locker Room including:
Wall finishes o Ceiling finishes 
Allocations for Lactation Room 

FF&E including: 
Lounge Seating 
Tables and Chairs, high and low 
Decorative Lighting 
Integrated technology at FFE where applies","","","","","The project consists of the renovation/refurbishment of the Team Member Lounge in the Grand Waikikian Tower into an “HGV Starbucks” experience for its employees. The space should have multi-functional zones that accommodate various activities/uses and Pantry upgrades","20119","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157325x183727623046684000","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HGV - Hilton Hawaiian Village Resorts Lagoon Tower Room Renovation - Soft Goods Project.","","","","","","","","","","","","","","","","","","","","","The project consists of the soft goods renovation/refurbishment of 231 guest rooms in the Lagoon Tower with two similar design schemes, one for Standard Units and one for Penthouse Units. Guest rooms are a mix of studio, 1-, 2-, and 3-bedroom units. Counts/Types are as follows: 

Standard Guest Units 
60 - 1 Bedroom Units (Type C,E,I)* 
160 - 2 Bedroom Units (Type D,K)* 

Penthouse Guest Units 
3 - 2 Bedroom Units (Type C,E,I)* 
8 - 3 Bedroom Units (Type A,B,D,F,G,H,J,K)* 

Guest Corridors 18 Floors

 *Unit type designations per Room Counts Spreadsheet provided by HGV, attached. 

Phase 1 will include a color board presentation to the HOA board; Phase 2 will include one 2-bedroom model unit that will be created based on the approved design scheme. Once approved by Ownership, the model unit will serve as the basis for the refurbishment of all guest rooms which will occur in Phase 3.","19101","","","","","","","","","","","","","","","","","","","","Jan 31, 2019 12:00 am","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869851x786208160188469900","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HGV Hokulani","","","","","","","","","","","","","","","","","","","","","","23111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384943x524711391071763600","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maui’s western shore","","","HGV Kaanapali Beach Club Resort – Survey/Field Verification","","","","","","","","","","","","","","","","","","","","","","21123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Int-Sales Center sm","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157587x624746068671186000","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HGV - Kings’ Land Phase I Room Renovation – Casegoods Project","","","","","","","","","","","","","","","","We believe the design team to be responsible for the following: 
Interior finishes including:
Paint P-1
LVT Flooring (Living/Dining/Kitchen)
Carpet (Bedroom)
FF&E including:
Area Rug 
Armoire
Artwork
Bed Package (Bolster pillows, box spring covers/skirt) 
Cabinet (Living Room) 
Ceiling Fans 
Coffee Table 
Dining Chairs 
Dining Table 
Dressers 
End Table 
Headboards 
Lamp - Floor 
Lamp - Table 
Lanai Furniture 
Lighting - Ceiling - Foyer 
Lighting - Wall Sconce 
Lounge Chair 
Mirror - Dining Room 
Mirror - Guest Bathroom
Mirror - Guest Bedroom
Mirror - Master Bathroom 
Mirror - Master Bedroom 
Nightstands o Sofa Sleeper 
Towel Stand o Vanity Cabinets 
Vanity Counters 
Window Treatments","","","","","The project consists of the casegoods renovation/refurbishment of 214 guest rooms in Buildings 1 - 4 with one design scheme. Guest rooms are a mix of 1, 2 and 3 bedroom units. Counts/Types are as follows:

Standard Guest Units 
62 - 1 Bedroom Units 
144 - 2 Bedroom Units 
8 - 3 Bedroom Units 

Phase 1 will include a color board presentation to the HOA board; Phase 2 will include one 2 bedroom model unit that will be created based on the approved design scheme. Once approved by Ownership, the model unit will serve as the basis for the refurbishment of all guest rooms which will occur in Phase 3.","19111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869868x617874682807601700","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","Waikoloa, Hawaii","1730156264638x822999928689301900","","HGV Kings’ Land Sales Center & Great Hall Renovation","","","","","","","","","","","","","","","","","","","","","","23122","","","","","","","","","","","","","16634","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689254x909042768659116900","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HGV King's Land Breakroom","","","","","","","","","","","","","","","","","","","","","","23113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384952x646680534132569200","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HGV Kingsland PH2","","","","","","","","","","","","","","","","","","","","","The project consists of the renovation/refurbishment of 97 units located in Buildings 21 and 22 at the existing Kings’ Land Waikoloa Resort. Guest units are a mix of Standard and Plus units. Counts/Types are as follows: 
Guest Units 
Building 21 
23 - 1 Bedroom Units 
25 - 2 Bedroom Units 

Building 22 
24 - 1 Bedroom Units 
25 - 2 Bedroom Units* 
*Including 1 ADA unit total","23112","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384951x406422265624574140","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Existing Lagoon Tower Sales Center at Hilton Hawaiian Village.","","","HGV Lagoon Replacement Kiosks","","","","","","","","","","","","","","","","The HGV Lagoon Replacement Kiosks will be located at the existing Lagoon Tower Sales Center at Hilton Hawaiian Village. The new kiosks will replace the existing kiosks in their existing locations. The project scope and fee are outlined below: 
The project will consist of WCITARCHITECTURE preparing Design and Construction Documents based upon the email and attachments received on August 30, 2018 and outlined below: 
Provide four (4) standard height and two (2) ADA kiosks as follows:  
Incorporate required equipment:
MS Surface Pro Tablet
MS Surface Dock
Samsung Companion Monitor
Monitor Mount as required
Webcam
Ventilation as required.
Reuse existing power and data source.","","","","","","18133","","","","","","","","","","","","","","","","","","","","Sep 6, 2018 12:00 am","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869850x320351055590809540","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","2005 KALIA ROAD
HONOLULU, HI 96815","1730156264638x822999928689301900","","HGV Lagoon Tower - Lagoon Sales Center Reconfigure","","","","","","","","","","","","","","","","The project location is at the Hilton Hawaiian Village HGV Lagoon Tower - Lagoon Sales Center. The project will consist of WCITARCHITECTURE providing Design Services and Design and Construction Documents as required based upon the program outlined below and attached block plan: 
Reception Desk and Refreshment Station to remain in existing locations.
Reduce size of Keiki Club.
Relocate Kiosks (4) to seating area between reception desk and refreshment station.
Provide café seating i.e. variety of seating types similar to Starbucks, at Kiosk area.
Gifting Desk to remain in existing location.
Provide refresh of finishes e.g. new carpet/floor finish (in particular at refreshment station), new accent walls and any other recommendations.
Provide new electrical as required. No coring for power.
Provide new mechanical as required.","","","","","","19113","","","","","","","","","","","","","","","","","","","","May 31, 2019 12:00 am","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869870x496765118863197200","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hilton Hawaiian Village, Oahu","","","HGV Lagoon Tower Sales Center Bay Optimization and Refresh","","","","","","","","","","","","","","","","","","","","","","23123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689255x236574855948286100","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177823x772237854168259300","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hilton Waikoloa Village","","","HGV Ocean Tower 7th Floor Sales Center","","","","","","","","","","","","","","","","","","","","","","23124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interiors","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689256x442605808361848700","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","kalaeloa, ‘ewa, o‘ahu, hawai‘i","","","Hoakalei Wedding Facility","","","","","","","","","","","","","","","","","","","","","","20104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cultural Facility","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157307x764914437463764600","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177831x757375597477401000","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151 KAPAHULU AVENUE, HONOLULU, HAWAII 96815","","","Honolulu Zoo- Chimpanzee View Portal Rehab","","","","","","","","","","","","","","","","","","","","","","23136.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Park/Recreational , Sports Facilities , Arenas , Theaters","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689294x101549177596544920","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177831x757375597477401000","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151 KAPAHULU AVENUE, HONOLULU, HAWAII 96815","","","Honolulu Zoo- Hippo View Portal Enhancement","","","","","","","","","","","","","","","","","","","","","","23136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Park/Recreational , Sports Facilities , Arenas , Theaters","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689292x729145970313210400","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177831x757375597477401000","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151 KAPAHULU AVENUE, HONOLULU, HAWAII 96815","","","Honolulu Zoo - Master Plan Update","","","","","","","","","","","","","","","","","","","","","","23136.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Park/Recreational , Sports Facilities , Arenas , Theaters","","","","Dec 30, 2024 10:14 am","Dec 30, 2024 10:14 am","1735571689294x543130596968249860","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kāʻanapali, Maui","","","Honua Kai Resort Residential Towers","","638","","","","","","","","","","","","","","","","","","","100words
Honua Kai is a master planned resort community comprised of two condominium towers, three town home enclaves, three distinct pool experiences, and Situated on 38 oceanfront acres of pristine North Beach Kā‘anapali. The name, Honua Kai means “where the earth meets the sea.”, The master plan of resort accommodations is situated in two U-shaped buildings with ocean and mountain views, lush landscaping and expansive open spaces. 

500-1000words","15132","","","","","","","","","","","38 acres","1655280","","","","","","","","","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491818x995877357245069200","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hyatt Regency Maui Water Feature / Amenity Area / Rockscape Master Planning Project.","","","","","","","","","","","","","","","","","","","","","Host Hotels is proposing to conduct a conceptual study of their existing pool amenity area with the intent of providing a new master plan by reducing or eliminating rockscape areas and redesigning hardscape, landscape, pool and water feature areas. This area would be for the makai side of the existing Hyatt Regency Resort between the Lahaina Tower and Napili Tower.","23115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hotel/Timeshare Resort","","","","Dec 30, 2024 10:09 am","Dec 30, 2024 10:09 am","1735571384960x363638466974474750","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","1734967668404x758506184123907100","","","","LEED Silver – New Construction","","1732726177824x761781768712488600","","","1728659653678x113956400766583870","","","Jan 1, 2018 12:00 am","","","","","","","","","","","","","13600000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Camp Hansen, Okinawa, Japan","","","Inns of the Corps
P903 Temporary Lodging Facility & BU 1419 Supporting Facilities","","","","","","","","","","","","","","","","","","","","","New Temporary Lodging Facility. Two-story facility includes 10 extended-stay guest rooms, 26 standard guest rooms, breakfast lounge, business center, game room, admin and housekeeping office, and storage spaces. Scope also includes site improvements, landscaping, coordination of installation/extension of permanent utilities, POV and GOV parking, covered drop-off drive, and playground with shade structure. Architectural design to utilized poured-in-place reinforced concrete construction; project design aims for LEED Silver Certification.","16152","","","","","","","","","",""," Project size in m (27,581 sm)","","296879","","","","","","","","","","","","","","","","","","Government Facility","","","","Dec 30, 2024 9:41 am","Dec 30, 2024 9:41 am","1735569695388x408491454779895900","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","Jan 1, 2016 12:00 am","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Waikīkī, Oʻahu","","","International Market Place Iwi Kupuna Room","","","","","","","","","","","","","","","","","","","","","","15153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cultural Facility","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491852x802175044475281300","","admin_user_arch-dash_test",""
"","","","","","","","","","","","Waikiki Improvement Association Ho'owehiwehi Award 2016
NAIOP Commercial Renovation Award over 40 , 000 square feet. 2017
ULI Global Award for Excellence 2019
Kūkulu Hale Award '18","","","","","","","","","","ICSC Gold 2018","","","","","1728659653678x113956400766583870","","","Jan 1, 2016 12:00 am","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Waikīkī, Oʻahu","","","International Market Place Revitalization","","","","","","","","","","","","","","","","","","","","","100words
There are also many design elements to honor Queen Emma, whose history is tied to the land. Etchings of the Queen’s song can be seen in the glass elevators, her favorite water lilies are floating in the pond and there below is a healing garden, representing the Queen’s desire to care for the Hawaiian people. Designed to celebrate the history of the site, it will offer a Hawaiian sense of place that honors Queen Emma’s legacy while adding vitality and appeal to Waikīkī.

500-1000words","15135","","","","","","","","","","","","","345000","","","","","","","","","","","","","","","","","","Graphic Design","","","","Dec 30, 2024 9:38 am","Dec 30, 2024 9:38 am","1735569491818x827541920291826400","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104 KAANAPALI SHORES PL. LAHAINA, HI 96761","","","Kaanapali Beach Club","","","","","","","","","","","","","","","","","","","","","","21130","","","","","","","","","","","","","329880","","","","","","","","","","","","","","","","","","Master Plan","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157611x434264197831986560","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2291 Kaanapali Parkway","","","Kaanapali Master Plan","","","","","","","","","","","","","","","","","","","","","The restaurant space is in an existing structure located at 2291 Kaanapali Parkway and was home to Tia Juana’s Beach Cantina & Margarita House. It is split level with a lower level of approximately 2,800 sf. and an Upper Area of approximately 5,600 sf. Kitchen – Service areas are located at each level.","20108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Master Plan","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157307x894891404856344800","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177829x450523328783098960","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","567 SOUTH KING STREET HONOLULU HAWAII 96813","","","Kaiāulu ʻO Kakaʻako Master Plan with a focus on Blocks C, D, G, H and I.","","","","","","","","","","","","","","","","Phase One:
In collaboration with KS staff prepare amendments (Amendment) to the Kaiāulu ‘O Kaka’ako Master Plan (“KKMP”) wherein the current plans for Blocks C, D, G, H, and I (Phase II) will be modified to allow the relocation of towers and densities. The Amendment shall incorporate the principles of the KKMP and provide for the continuation of the development of Phase II in line with the vision, values, and esthetics that has thus far been established by the development of Phase I. 
The selected consultant (Consultant) to meet with KS staff to discuss the various options available for the future development of Phase II, which may include at least the following:
The moving of towers between the KS Properties as well FARs, and relocating towers within a block to take advantage of the current conditions.
Adding additional tower(s).
Combining of separate Blocks (H&I).
Modifiying Koula Street configuration and use. 
Address sea level rise, flooding and drainage issues.
Establish the “fabric of architecture” for the remaining commercial and public gathering areas/spaces.
After the meeting(s) with KS staff, Consultant to prepare up to three options of the Amendment with the existing Phase I and the proposed improvements to Phase II, following the Vested Rules, with at the following:
A massing plan (with basic architectural design elements) showing the various proposed towers and view corridors (from 2-3 various positions/vantage points as well as oblique and ground level views).
The proposed locations and uses of all structures and open areas, the maximum density or intensity of uses, the bulk and height of all structures and their relationship to each other and to adjacent areas, the maximum gross floor areas of buildings by types of uses, the maximum ground coverage of all buildings, the maximum FAR by blocks (updated Table 5-12); and the relationship of buildings to required yard and view corridor setbacks.
The proposed location and estimated number of residential units including reserved housing units.
The traffic circulation, including existing roads proposed for closure, if any, and proposed changes to roadway alignments which may include Auahi Street.
The pedestrian and multi modal circulation system, at grade and grade separated, including proposed arcades, through-block arcades, and plazas, if any. 
The locations of proposed parking areas, including consideration of district parking, with estimates of the number of parking spaces.
The location and amount of land proposed to be dedicated for public facilities.
The location and minimum amount of proposed open space and recreation areas.
Renderings and renderings dropped into aerial photography.

Scope of work to include meeting with KS and HCDA, as needed, as the Amendment is being prepared.

Phase Two:
Once the Amendment has been approved by KS, Consultant to prepare a presentation binder similar to the Kaiāulu ‘O Kaka’ako Master Plan binder which can be submitted to HCDA for an amendment to the KKMP. Consultant to also prepare renderings and other visual aids as may be directed by KS.

Attend meetings with KS and HCDA as may be directed by KS.","","","","","","20114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Master Plan","","","","Dec 30, 2024 10:05 am","Dec 30, 2024 10:05 am","1735571157317x848232038788309800","","admin_user_arch-dash_test",""
"","","1730156561454x554511758673992240","","","","","","","","","","","","","","","","","","","","","1732726177825x119007062134812720","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","1730039943222x720852572887955100","","","","","","","","","","","","","","","","","","","","1887 MAKUAKANE ST. HONOLULU, HAWAII 96817","1730156561454x554511758673992240","","KAMEHAMEHA SCHOOLS - KAPALAMA CAMPUS MIDKIFF LEARNING CENTER INTERIOR RENOVATIONS","","","","","","","","","","","","","","","","","","","","","THE KAMEHAMEHA SCHOOL LIBRARY RENOVATION CONSISTS OF INTERIOR REMODELING INCLUDING PAINT, 
TILE, FLOORING,CEILINGS, AND  REPLACEMENT OF PLUMBING FIXTURES, LIGHTNG FIXTURES, HVAC SYSTEMS. 
NEW FIRE SPRINKLER SYSTEM.

The Midkiff Learning Center was envisioned as a learning center for current and future generations with a dedicated room for Hawaiiana materials, a television studio and an audio and graphics center. Today the Learning Center with a Library of over 60,000 books and other various resources, Digital Media studio, Production Center, the Hawai‘i Pacific Collection, Student Publications, the KS Museum Archive and multiple classroom spaces and work study spaces.","17143","","","","","","","","","","","","","50000","","","","","","","","1730155554352x145521819847869820","","","","","","","","","","Educational Facilities","","","","Dec 30, 2024 9:41 am","Dec 30, 2024 9:41 am","1735569695495x222476373466585340","","admin_user_arch-dash_test",""
"","","","","","","","","","","","","","","","","","","","","","","","1732726177824x609159331443562600","","","1728659653678x113956400766583870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poipu, Kauai","","","Keoki’s Paradise Refresh – Full Service Project","","","","","","","","","","","","","","","","","","","","","","19105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Restaurant","","","","Dec 30, 2024 10:01 am","Dec 30, 2024 10:01 am","1735570869868x221213075613337700","","admin_user_arch-dash_test",""
